ISO time,Unix time,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Pilot,Group,Country
2023-05-12T08:00:01Z,1683878401,101,41.9393556,41.9384909,1997.12,0,7.7,92.9,641848.44,-316348.41,86.8,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:02Z,1683878402,101,41.9405611,41.9384463,1996.67,0,7.4,92.9,641949,-316342.84,86.8,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:03Z,1683878403,101,41.9418078,41.9384,1996.88,0,6.7,92.9,642053,-316337.09,86.8,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:04Z,1683878404,101,41.9430939,41.9383523,1997.38,0,6.1,92.9,642160.31,-316331.16,86.8,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:05Z,1683878405,101,41.9444409,41.9383023,1997.94,2.4,5.4,92.9,642272.69,-316324.97,86.9,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:06Z,1683878406,101,41.9458566,41.9382462,1998.48,4.4,4.7,93.3,642390.88,-316318.84,87.2,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:07Z,1683878407,101,41.9473485,41.9381802,1998.95,5.4,4.2,93.6,642515.5,-316313.16,87.5,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:08Z,1683878408,101,41.9489,41.9381033,1999.33,5.5,3.7,94.1,642645.19,-316308.16,88,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:09Z,1683878409,101,41.9505443,41.9380133,1999.61,5.2,3.2,94.5,642782.69,-316303.78,88.4,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:10Z,1683878410,101,41.9522516,41.9379116,1999.81,4.6,2.9,94.8,642925.62,-316300.19,88.7,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:11Z,1683878411,101,41.9540324,41.9377966,1999.93,2.1,2.6,95.1,643074.81,-316297.41,89.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:12Z,1683878412,101,41.9558845,41.9376736,2000,0.8,2.4,95.1,643229.94,-316294.88,89.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:13Z,1683878413,101,41.9577408,41.9375504,2000.03,0.5,2.4,95.1,643385.44,-316292.34,89.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:14Z,1683878414,101,41.9595981,41.9374269,2000.05,0.2,2.4,95.1,643541.06,-316289.81,89.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2023-05-12T08:00:15Z,1683878415,101,41.9614537,41.9373036,2000.05,0.1,2.4,95.1,643696.5,-316287.31,89.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
