ISO time,Unix time,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Pilot,Group,Country
2016-06-21T04:00:01Z,1466481601,101,42.247003,42.3540743,1997.91,0,0.4,65.6,662337.06,-267416.44,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:02Z,1466481602,101,42.2494148,42.3548884,1996.95,0,0.5,65.6,662526.06,-267304.12,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:03Z,1466481603,101,42.2518508,42.3557105,1996.19,0,0.6,65.6,662716.88,-267190.72,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:04Z,1466481604,101,42.2542797,42.3565301,1995.8,0,0.7,65.6,662907.12,-267077.59,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:05Z,1466481605,101,42.2567234,42.3573547,1995.76,0,0.7,65.6,663098.5,-266963.81,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:06Z,1466481606,101,42.2591551,42.3581751,1995.98,0,0.8,65.6,663289,-266850.59,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:07Z,1466481607,101,42.261605,42.3590016,1996.37,0,0.8,65.6,663480.88,-266736.53,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:08Z,1466481608,101,42.2640255,42.3598181,1996.82,0,0.8,65.6,663670.5,-266623.84,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:09Z,1466481609,101,42.2664659,42.3606412,1997.3,0,0.8,65.6,663861.62,-266510.22,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:10Z,1466481610,101,42.2689139,42.3614668,1997.75,0,0.7,65.6,664053.31,-266396.25,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:11Z,1466481611,101,42.2713635,42.3622929,1998.16,0,0.7,65.6,664245.19,-266282.22,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:12Z,1466481612,101,42.2737967,42.3631134,1998.5,0,0.7,65.6,664435.75,-266168.94,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:13Z,1466481613,101,42.2762329,42.3639348,1998.8,0,0.7,65.6,664626.56,-266055.53,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:14Z,1466481614,101,42.2786635,42.3647543,1999.05,0,0.7,65.6,664816.88,-265942.38,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:15Z,1466481615,101,42.2811095,42.3655788,1999.24,0,0.7,65.6,665008.44,-265828.53,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:16Z,1466481616,101,42.2835495,42.3664012,1999.4,0,0.7,65.6,665199.5,-265714.91,59.3,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
