ISO time,Unix time,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading
2016-06-21T04:00:01Z,1466481601,101,41.5198896,46.3591003,1997.91,0,0.4,189.6,555797.75,171219.88,183.3
2016-06-21T04:00:02Z,1466481602,101,41.5194204,46.3571598,1996.95,0,0.5,189.6,555785.06,171000.47,183.3
2016-06-21T04:00:03Z,1466481603,101,41.5189475,46.3552037,1996.18,0,0.6,189.6,555772.19,170779.3,183.3
2016-06-21T04:00:04Z,1466481604,101,41.5184727,46.3532399,1995.79,0,0.7,189.6,555759.31,170557.27,183.3
2016-06-21T04:00:05Z,1466481605,101,41.5179989,46.3512803,1995.76,1.6,0.7,189.6,555746.5,170335.7,183.3
2016-06-21T04:00:06Z,1466481606,101,41.5175226,46.3493252,1995.99,3.2,0.8,189.7,555733.38,170114.61,183.4
2016-06-21T04:00:07Z,1466481607,101,41.5170366,46.3473604,1996.37,3.8,0.8,189.8,555719.69,169892.39,183.6
2016-06-21T04:00:08Z,1466481608,101,41.5165438,46.3454023,1996.84,3.7,0.8,190,555705.31,169670.83,183.8
2016-06-21T04:00:09Z,1466481609,101,41.51604,46.3434346,1997.31,9.8,0.8,190.3,555690.25,169448.11,184
2016-06-21T04:00:10Z,1466481610,101,41.5155187,46.3414858,1997.79,17.2,0.9,190.9,555673.62,169227.34,184.7
2016-06-21T04:00:11Z,1466481611,101,41.5149576,46.3395359,1998.25,19.6,0.9,191.7,555653.88,169006.14,185.5
2016-06-21T04:00:12Z,1466481612,101,41.514354,46.3375936,1998.67,18.6,0.8,192.7,555630.88,168785.41,186.4
2016-06-21T04:00:13Z,1466481613,101,41.5137087,46.3356551,1999.01,16.6,0.8,193.4,555604.5,168564.77,187.2
2016-06-21T04:00:14Z,1466481614,101,41.5130254,46.333718,1999.27,14.1,0.7,194.1,555575.31,168343.95,187.9
2016-06-21T04:00:15Z,1466481615,101,41.512314,46.3317936,1999.43,15.4,0.7,194.7,555543.69,168124.33,188.5
2016-06-21T04:00:16Z,1466481616,101,41.511567,46.3298742,1999.58,20.1,0.8,195.6,555509.25,167904.94,189.4
2016-06-21T04:00:17Z,1466481617,101,41.5107704,46.3279511,1999.71,20.3,0.8,196.5,555471.12,167684.75,190.3
2016-06-21T04:00:18Z,1466481618,101,41.5099344,46.3260487,1999.82,18.1,0.8,197.4,555429.69,167466.53,191.2
2016-06-21T04:00:19Z,1466481619,101,41.509066,46.3241691,1999.88,15.5,0.7,198.2,555385.44,167250.58,191.9
2016-06-21T04:00:20Z,1466481620,101,41.5081531,46.3222736,1999.9,12.8,0.7,198.8,555338,167032.47,192.6
2016-06-21T04:00:21Z,1466481621,101,41.5072167,46.3203929,1999.89,17,0.8,199.4,555288.56,166815.83,193.2
2016-06-21T04:00:22Z,1466481622,101,41.5062463,46.3185278,1999.91,24.3,0.9,200.4,555236.25,166600.62,194.2
2016-06-21T04:00:23Z,1466481623,101,41.5052108,46.3166555,2000,25.7,0.9,201.6,555179.06,166384.08,195.4
2016-06-21T04:00:24Z,1466481624,101,41.5041346,46.3148248,2000.09,23.3,0.8,202.8,555118.31,166171.81,196.6
2016-06-21T04:00:25Z,1466481625,101,41.5030025,46.3129975,2000.13,19.9,0.7,203.7,555053.12,165959.48,197.5
2016-06-21T04:00:26Z,1466481626,101,41.5018212,46.3111715,2000.11,16.3,0.7,204.6,554984.12,165746.86,198.4
2016-06-21T04:00:27Z,1466481627,101,41.5006167,46.3093719,2000.06,12.8,0.7,205.2,554913.06,165537,199
2016-06-21T04:00:28Z,1466481628,101,41.4993769,46.3075692,1999.98,23.2,0.8,205.9,554839.25,165326.5,199.7
2016-06-21T04:00:29Z,1466481629,101,41.4980989,46.3058025,2000.04,36.5,1.2,207.5,554762.06,165119.69,201.3
2016-06-21T04:00:30Z,1466481630,101,41.4967295,46.3040562,2000.25,39.7,1.3,209.6,554677.62,164914.36,203.4
2016-06-21T04:00:31Z,1466481631,101,41.4952637,46.302336,2000.48,36.2,1.1,211.6,554585.44,164711.14,205.3
2016-06-21T04:00:32Z,1466481632,101,41.4937244,46.3006553,2000.63,32,1,213.3,554487.12,164511.7,207.1
2016-06-21T04:00:33Z,1466481633,101,41.4921214,46.2990068,2000.63,29.1,0.9,214.8,554383.5,164315.31,208.5
2016-06-21T04:00:34Z,1466481634,101,41.490463,46.2973837,2000.53,16.5,0.7,215.9,554275.31,164121.3,209.6
2016-06-21T04:00:35Z,1466481635,101,41.4887706,46.2957759,2000.3,10,0.6,216.4,554164.31,163928.67,210.2
2016-06-21T04:00:36Z,1466481636,101,41.4870678,46.2941844,2000.04,5.1,0.6,216.8,554052.25,163737.8,210.6
2016-06-21T04:00:37Z,1466481637,101,41.4853419,46.2925849,1999.82,2.4,0.6,216.9,553938.56,163545.84,210.7
2016-06-21T04:00:38Z,1466481638,101,41.483622,46.2909971,1999.67,0.8,0.6,217,553825.19,163355.23,210.8
2016-06-21T04:00:39Z,1466481639,101,41.4818972,46.289407,1999.59,-0.1,0.6,217,553711.5,163164.33,210.8
2016-06-21T04:00:40Z,1466481640,101,41.4801775,46.2878213,1999.56,-0.3,0.6,217,553598,162973.97,210.8
2016-06-21T04:00:41Z,1466481641,101,41.4784424,46.2862249,1999.58,10.5,0.7,217.2,553483.56,162782.28,211
2016-06-21T04:00:42Z,1466481642,101,41.4767024,46.2846474,1999.63,13,0.7,217.7,553368.5,162592.67,211.5
2016-06-21T04:00:43Z,1466481643,101,41.4749383,46.2830805,1999.71,13.5,0.7,218.3,553251.38,162404.03,212.1
2016-06-21T04:00:44Z,1466481644,101,41.4731495,46.2815259,1999.79,12.7,0.7,218.9,553132.25,162216.56,212.7
2016-06-21T04:00:45Z,1466481645,101,41.4713361,46.2799817,1999.86,12.1,0.7,219.5,553011.06,162030.03,213.3
2016-06-21T04:00:46Z,1466481646,101,41.4694949,46.2784498,1999.92,27,0.9,220.4,552887.62,161844.64,214.2
2016-06-21T04:00:47Z,1466481647,101,41.4676105,46.276947,2000.07,29.1,1,221.7,552760.5,161662.14,215.5
